id,avg_reward_route_0,avg_reward_route_1,avg_reward_route_2
138,-31.03333333333333,-31.42222222222222,-32.891666666666666
139,-32.59166666666667,-32.69166666666666,-34.05833333333334
140,-26.45,-26.80833333333333,-28.496666666666663
141,-10.879166666666666,-11.3,-12.816666666666666
142,-6.616666666666667,-6.62,-8.183333333333334
143,-23.883333333333333,-24.333333333333332,-25.674999999999997
144,-13.0875,-13.305555555555555,-14.927777777777777
145,-16.523333333333333,-16.683333333333334,-18.34166666666667
146,-14.744444444444445,-14.858333333333334,-16.46
147,-19.76111111111111,-19.90833333333333,-21.305555555555557
148,-28.416666666666668,-28.8625,-30.01666666666667
149,-21.755555555555556,-21.70833333333333,-23.14
150,-19.05833333333333,-19.53333333333333,-20.9875
151,,-11.5,-13.15
152,-8.1625,-8.600000000000001,-9.854166666666668
153,-15.336666666666668,-15.741666666666667,-17.349999999999998
154,-19.74583333333333,-20.227777777777774,-21.505555555555556
155,-31.90833333333333,-32.30555555555556,-33.725
156,-21.233333333333334,-21.2375,-22.816666666666663
157,-29.916666666666668,-29.829166666666666,-31.336666666666666
158,-14.170833333333333,-13.977777777777776,-15.677777777777777
159,-9.319444444444445,-9.691666666666666,-11.058333333333334
160,-10.3,,-11.939583333333333
161,-12.9,-13.111111111111112,-14.466666666666669
162,-32.68,-32.96111111111111,-34.44166666666666
163,-12.583333333333334,-12.375,-13.952777777777778
164,,-29.03,-30.726666666666667
165,-10.9125,-11.0,-12.570833333333333
166,-30.066666666666666,-30.354166666666664,-32.077777777777776
167,-24.855555555555554,-25.0125,-26.288888888888888
168,-19.216666666666665,-19.493333333333332,-21.25
169,-19.65833333333333,-20.056666666666665,-21.144444444444442
170,-14.773333333333332,-14.983333333333333,-16.725
171,-25.8,-26.058333333333334,
172,-14.758333333333333,-15.095833333333333,-16.475
173,,-9.491666666666667,-10.980555555555554
174,-8.688888888888888,-8.45,-10.174999999999999
175,-23.53333333333333,-23.775000000000002,-25.26111111111111
176,-31.416666666666668,-31.724999999999998,-33.39
177,-22.4,-22.53333333333333,-24.139999999999997
178,-19.333333333333332,-19.637499999999996,-20.8125
179,-23.833333333333332,-24.125,-25.26111111111111
180,-30.156666666666666,-30.71111111111111,-32.141666666666666
181,-22.683333333333334,-22.53333333333333,-24.23095238095238
182,-16.133333333333333,-16.125,-17.764285714285712
183,,-30.145833333333332,-30.991666666666664
184,-27.616666666666664,-27.883333333333333,-29.45
185,-31.644444444444442,-31.894444444444446,-33.275
186,-23.994444444444444,-24.313333333333333,-25.916666666666664
187,-9.822222222222223,-10.223809523809523,
188,-8.533333333333333,-8.595833333333333,-10.011111111111111
189,-31.016666666666666,-31.229166666666668,-33.016666666666666
190,-32.75833333333333,-33.02777777777778,-34.74444444444445
191,-19.104166666666664,-19.354166666666668,-20.641666666666666
192,-16.7,-17.025,-18.38095238095238
193,-30.73333333333333,-31.15,-32.31666666666667
194,-10.255555555555555,-10.372222222222222,-11.658333333333333
195,-12.658333333333333,-12.933333333333334,-14.606666666666666
196,-27.07857142857143,-27.099999999999998,-28.416666666666668
197,-15.36,-15.844444444444443,-16.991666666666667
198,-19.805555555555554,-20.28333333333333,-21.85
199,-18.366666666666664,-18.95,-19.779166666666665
200,-24.344444444444445,-24.538888888888888,-25.833333333333332
201,-30.344444444444445,-30.183333333333334,-32.11111111111111
202,,-21.173333333333332,-22.456666666666663
203,-28.113333333333333,-28.455555555555552,-30.025
204,-8.122222222222222,-8.377777777777778,-9.9875
205,-19.866666666666664,-20.358333333333334,-21.683333333333334
206,-11.980555555555554,-12.025,-13.224999999999998
207,,-9.73125,-11.316666666666666
208,-12.345833333333333,-12.295833333333334,-13.966666666666669
209,-17.591666666666665,-17.433333333333334,-19.056666666666665
210,-29.17222222222222,-29.61111111111111,-30.883333333333333
211,-7.85,-8.059999999999999,-9.283333333333331
212,-20.1875,,-22.097222222222218
213,-14.3,-14.361111111111109,-15.606666666666666
214,-17.438888888888886,-17.633333333333333,-19.156666666666666
215,-29.672222222222217,-30.12222222222222,-31.445833333333333
216,-26.39666666666667,-26.841666666666665,-28.244444444444444
217,-30.266666666666666,-30.906666666666666,-32.0875
218,-18.541666666666664,-18.805555555555554,-20.355555555555554
219,-13.35,-13.733333333333334,-15.05
220,-18.224999999999998,-17.98333333333333,-19.46111111111111
221,-23.3,-23.706666666666667,-24.966666666666665
222,-21.803333333333335,-21.854166666666664,-23.3
223,-9.261111111111111,-9.791666666666666,-10.858333333333334
224,-20.875,-21.13333333333333,-22.54444444444444
225,-24.255555555555556,-24.416666666666668,-26.10833333333333
226,-32.52083333333333,-32.58888888888889,-33.85
227,-31.78,-32.1625,-33.15
228,-11.322222222222223,-11.408333333333333,-12.8
229,-17.679166666666667,-17.875,-19.466666666666665
230,-8.649999999999999,-8.587499999999999,-10.179166666666667
231,-14.641666666666666,-14.776666666666667,-15.933333333333334
232,-24.1875,-24.366666666666667,-25.85
233,-29.641666666666666,-30.366666666666667,-31.66111111111111
234,-12.843333333333334,-13.1375,-14.25
235,-13.658333333333331,-13.746666666666666,-15.316666666666668
236,-6.8500000000000005,-7.036111111111111,-8.533333333333333
237,-19.079166666666666,-19.433333333333334,-20.7875
238,-10.969999999999999,-11.170833333333334,-12.633333333333333
239,-14.705555555555556,-14.622222222222222,-16.166666666666668
240,,-12.411111111111111,-13.925
241,-19.579166666666666,-19.95,-21.472222222222225
242,-7.611111111111111,-7.733333333333333,-9.183333333333334
243,-9.372222222222222,-9.675,-11.069999999999999
244,-31.558333333333334,-32.0,-33.42777777777778
245,-8.886666666666667,-8.908333333333333,-10.594444444444443
246,-9.755555555555555,-10.195833333333333,-11.444444444444445
247,-31.29,-31.35,-32.73888888888889
248,-31.790476190476188,,-33.13888888888889
249,-9.92,-10.05,-11.525
250,-16.28333333333333,-16.3,-18.157142857142855
251,-23.905555555555555,-24.333333333333332,-25.641666666666666
252,-31.1875,-31.695833333333333,-32.63333333333333
253,-11.766666666666666,-11.75,-13.31111111111111
254,-17.708333333333336,-18.05,-19.525
255,-27.858333333333334,-28.049999999999997,-29.2125
256,-26.276666666666664,-26.6,-27.955555555555552
257,-16.083333333333332,-16.68333333333333,-18.011904761904763
258,-20.41111111111111,-20.65833333333333,-22.277777777777775
259,-8.922222222222222,-9.066666666666666,-10.325
260,-18.941666666666666,-19.416666666666664,-20.8625
261,-19.238888888888884,-19.4375,-20.86111111111111
262,-24.606666666666666,-24.9,-26.441666666666663
263,-14.833333333333332,-15.122222222222225,-16.633333333333333
264,-25.825,-26.05,-27.366666666666667
265,-29.512499999999996,-29.727777777777774,-31.194444444444446
266,-22.37222222222222,-22.245833333333334,-24.08888888888889
267,-25.037499999999998,-25.275,-26.479166666666664
268,-20.944444444444443,-21.08888888888889,-22.85
269,-19.666666666666668,-20.32777777777778,-21.405555555555555
270,-13.091666666666667,-13.425,-14.783333333333333
271,-24.23333333333333,-24.3,-25.613333333333333
272,-19.30833333333333,-19.7,-21.061111111111114
273,-33.03333333333333,-33.30833333333334,-34.9375
274,-32.48888888888889,-32.443333333333335,-34.041666666666664
275,-25.905555555555555,-26.093333333333334,-27.84166666666667
276,-13.325000000000001,-13.383333333333333,-14.666666666666666
277,-10.083333333333334,-10.372222222222222,-11.573333333333334
278,-29.976666666666667,-30.42083333333333,-31.55
279,-23.266666666666666,-23.75555555555555,-25.102777777777778
280,-25.93333333333333,-26.066666666666663,-27.696666666666665
281,-7.0055555555555555,-7.26,-8.825
282,-30.15,-30.216666666666665,-31.727777777777778
283,-25.494444444444444,,-27.414285714285715
284,-9.433333333333334,-9.76,-11.024999999999999
285,-15.191666666666668,-15.616666666666667,-16.775
286,-23.906666666666666,-24.116666666666664,-25.316666666666663
287,-21.583333333333332,-22.099999999999998,-23.741666666666664
288,-17.433333333333334,-17.383333333333333,-18.8625
289,,-20.438095238095237,-21.983333333333334
290,-17.905555555555555,-18.2625,-19.766666666666666
291,-21.979166666666664,-22.133333333333333,-23.829166666666666
292,-31.62222222222222,-31.75,-33.23888888888889
293,-7.383333333333334,-7.541666666666666,-9.15
294,-18.583333333333332,-18.594444444444445,-19.955555555555552
295,-22.65,-22.741666666666664,-24.399999999999995
296,-24.491666666666667,-24.608333333333334,-26.13611111111111
297,-16.175,-16.504166666666666,-18.066666666666666
298,-7.0,-7.2299999999999995,-8.895833333333334
299,-24.133333333333333,,-25.98
