agent_id,mean_across_runs,std_across_runs,min_across_runs,max_across_runs,best_run,worst_run
81,13.2,0.5162632833911185,12.783333333333331,14.066666666666666,Run 5,Run 2
82,17.363333333333337,1.0351060063802369,16.433333333333334,18.966666666666665,Run 4,Run 5
83,16.733333333333334,1.2034672132357105,15.76666666666667,18.066666666666663,Run 2,Run 4
84,11.376666666666669,0.9609457147345355,10.45,12.8,Run 2,Run 5
85,26.46333333333333,1.1087655798729987,25.2,27.316666666666663,Run 2,Run 4
86,15.523333333333335,0.5588430509146165,14.98333333333333,16.416666666666668,Run 4,Run 3
87,21.806666666666665,0.7450391488595307,20.95,23.0,Run 1,Run 2
88,26.97333333333333,0.7131308123728466,26.23333333333333,28.133333333333333,Run 1,Run 2
89,26.886666666666663,0.9081727686832378,26.23333333333333,28.4,Run 5,Run 4
90,28.846666666666664,1.1116429282822793,27.916666666666668,30.633333333333333,Run 1,Run 3
91,20.03333333333333,0.6874873736214274,19.466666666666665,21.216666666666665,Run 3,Run 2
92,16.32,0.9023426301700604,15.416666666666666,17.683333333333334,Run 2,Run 5
93,20.313333333333336,0.49587184724370925,19.916666666666668,20.95,Run 1,Run 3
94,8.290000000000001,0.9293516258362298,7.6,9.883333333333333,Run 1,Run 5
95,9.59,1.1230291378430237,8.266666666666667,10.65,Run 1,Run 3
96,9.816666666666666,0.518678877319848,9.25,10.233333333333333,Run 1,Run 5
97,12.633333333333335,0.8512246080402831,11.566666666666666,13.933333333333334,Run 5,Run 1
98,24.639999999999997,0.3317880849779463,24.133333333333333,25.03333333333333,Run 3,Run 4
99,12.986666666666668,0.38647265247506296,12.316666666666666,13.283333333333331,Run 4,Run 3
100,18.416666666666668,1.0215048811543799,16.966666666666665,19.416666666666668,Run 1,Run 4
101,32.62333333333333,1.030412538743587,31.066666666666663,33.71666666666667,Run 2,Run 5
102,17.77,0.5332552026104489,16.816666666666666,18.03333333333333,Run 2,Run 5
103,28.85,0.8914719413544226,27.65,29.6,Run 3,Run 4
104,11.666666666666668,0.08975274678557509,11.55,11.8,Run 2,Run 4
105,18.173333333333336,1.031288298952118,17.183333333333334,19.28333333333333,Run 1,Run 3
106,12.246666666666666,0.8099554171544124,11.233333333333333,13.0,Run 1,Run 3
107,18.333333333333336,0.8953584012375505,17.666666666666668,19.83333333333333,Run 3,Run 2
108,29.496666666666663,0.98357341701912,27.98333333333333,30.28333333333333,Run 1,Run 3
109,9.213333333333333,1.090833015024145,8.15,10.45,Run 3,Run 1
110,25.96333333333333,0.7363951234071138,25.366666666666667,27.1,Run 5,Run 2
111,23.503333333333334,0.806862923784316,22.666666666666668,24.383333333333333,Run 1,Run 2
112,14.233333333333334,0.8109493750468568,13.716666666666669,15.65,Run 2,Run 5
113,9.416666666666668,0.6923189695187879,8.233333333333333,10.05,Run 5,Run 2
114,21.056666666666665,0.7581593206942429,20.2,22.183333333333334,Run 2,Run 1
115,14.876666666666665,0.8098010729665506,14.0,16.083333333333332,Run 2,Run 5
116,22.936666666666667,0.38826537316634396,22.466666666666665,23.45,Run 2,Run 4
117,20.336666666666666,0.582785456998447,19.55,20.866666666666667,Run 3,Run 2
118,31.3,0.9095939264919894,30.23333333333333,32.266666666666666,Run 2,Run 5
119,18.43333333333333,0.66812340842758,17.816666666666666,19.566666666666663,Run 1,Run 5
120,10.93,0.4469650744496468,10.366666666666667,11.333333333333334,Run 1,Run 5
121,22.490000000000002,0.9068872280743867,21.466666666666665,23.216666666666665,Run 5,Run 4
122,24.880000000000003,0.6998412518405704,24.116666666666667,25.48333333333333,Run 1,Run 3
123,30.596666666666664,0.5167204273105553,30.083333333333325,31.383333333333333,Run 1,Run 4
124,30.24,1.0551197930935503,29.28333333333333,31.45,Run 3,Run 5
125,26.693333333333335,0.9275565271783228,25.45,27.666666666666668,Run 3,Run 4
126,31.77,0.9309045779956908,30.4,32.81666666666667,Run 1,Run 5
127,10.253333333333334,0.6958607779018888,9.616666666666667,11.383333333333333,Run 1,Run 3
128,13.966666666666665,0.7747759532779641,13.15,15.083333333333334,Run 1,Run 2
129,12.496666666666666,0.5466310964037407,11.766666666666667,13.01666666666667,Run 2,Run 5
130,16.9,0.8421203397773188,15.916666666666666,18.25,Run 4,Run 3
131,8.843333333333334,0.8563974933794851,8.183333333333334,10.283333333333331,Run 5,Run 3
132,27.96333333333333,0.5683064509771322,27.316666666666663,28.866666666666667,Run 3,Run 2
133,18.71333333333333,0.7902531240052139,17.983333333333334,20.05,Run 3,Run 2
134,9.690000000000001,0.44528392939536643,8.9,9.983333333333333,Run 3,Run 2
135,11.956666666666667,0.9490931344066181,10.666666666666666,12.833333333333334,Run 4,Run 5
136,25.176666666666662,0.5007771737786949,24.633333333333333,25.65,Run 1,Run 3
137,28.579999999999995,0.5747463208523677,28.016666666666662,29.516666666666662,Run 5,Run 1
138,31.870000000000005,0.9433539455934168,31.0,33.083333333333336,Run 1,Run 4
139,32.81333333333333,0.8745951444335067,32.13333333333333,34.166666666666664,Run 4,Run 1
140,27.759999999999998,1.019572350438054,26.18333333333333,28.46666666666666,Run 1,Run 4
141,11.533333333333333,0.7884584115009915,10.616666666666667,12.766666666666667,Run 2,Run 5
142,6.7666666666666675,0.14577379737113214,6.583333333333333,6.883333333333335,Run 5,Run 4
143,24.42666666666667,0.7225148979625098,23.7,25.566666666666663,Run 4,Run 2
144,13.476666666666665,0.8887100514541049,12.483333333333333,14.76666666666667,Run 2,Run 1
145,17.233333333333338,0.9011566641452151,16.466666666666665,18.48333333333333,Run 2,Run 3
146,14.796666666666667,1.053328059058525,14.166666666666666,16.666666666666668,Run 2,Run 4
147,20.28666666666667,0.6341442177366976,19.866666666666667,21.4,Run 4,Run 5
148,29.04666666666667,0.7765128603070408,28.133333333333333,29.95,Run 5,Run 4
149,22.596666666666664,0.6937618867850506,21.8,23.33333333333333,Run 2,Run 4
150,20.6,0.8735305120919105,19.05,21.133333333333333,Run 4,Run 1
151,11.743333333333334,0.9273318955176973,10.866666666666667,13.116666666666669,Run 1,Run 4
152,8.760000000000002,0.9416740412690578,7.9,9.85,Run 4,Run 1
153,16.68,0.6931610362839378,15.85,17.233333333333334,Run 1,Run 5
154,20.26666666666667,0.7339959127951591,19.6,21.466666666666665,Run 1,Run 5
155,32.04666666666667,0.5176603347970781,31.516666666666662,32.666666666666664,Run 2,Run 5
156,21.653333333333332,0.6926599293865484,21.166666666666668,22.85,Run 3,Run 1
157,30.163333333333334,0.9044949480849032,29.116666666666667,31.616666666666667,Run 1,Run 3
158,15.1,0.7809360480289739,14.133333333333331,15.7,Run 2,Run 1
159,10.040000000000001,0.8281170072989552,8.933333333333334,10.9,Run 3,Run 2
160,10.676666666666666,0.5673525261148382,10.3,11.666666666666666,Run 4,Run 2
161,14.163333333333336,0.846184245763166,12.683333333333334,14.716666666666669,Run 3,Run 4
162,33.583333333333336,0.8698658900466586,32.483333333333334,34.666666666666664,Run 5,Run 4
163,12.756666666666666,1.2007289452661665,11.666666666666666,14.183333333333334,Run 2,Run 5
164,29.98666666666666,0.9946663315459656,28.633333333333333,30.96666666666666,Run 4,Run 3
165,11.606666666666666,0.6691204840850576,10.9,12.383333333333333,Run 4,Run 3
166,31.116666666666664,0.5910207742165718,30.55,31.916666666666668,Run 2,Run 4
167,26.029999999999994,0.9074077853362758,24.416666666666668,26.53333333333333,Run 2,Run 1
168,19.42666666666667,0.48955762343841236,18.85,19.916666666666668,Run 1,Run 3
169,20.06666666666667,0.672784429731314,19.466666666666665,21.133333333333333,Run 5,Run 4
170,15.026666666666667,0.9050475739490772,14.26666666666667,16.433333333333334,Run 1,Run 2
171,26.45666666666666,0.37167040356865977,26.21666666666666,27.116666666666667,Run 1,Run 2
172,14.876666666666665,0.32115243870923527,14.48333333333333,15.2,Run 1,Run 3
173,9.559999999999999,0.7977920921030884,8.966666666666667,10.9,Run 1,Run 2
174,9.819999999999999,0.8807667114508813,8.25,10.3,Run 2,Run 5
175,23.376666666666665,0.45255447799746207,23.016666666666666,24.133333333333333,Run 1,Run 2
176,32.42999999999999,0.8371910707173654,31.2,33.38333333333333,Run 5,Run 2
177,22.913333333333334,0.575108685380426,22.516666666666666,23.916666666666668,Run 4,Run 1
178,19.846666666666668,0.6433851447185002,19.15,20.883333333333333,Run 2,Run 3
179,23.81666666666667,1.0391636594449947,23.183333333333334,25.666666666666668,Run 1,Run 4
180,30.959999999999997,0.6639109712738435,30.383333333333333,32.016666666666666,Run 1,Run 3
181,23.506666666666668,0.9627506888540194,22.05,24.216666666666665,Run 1,Run 2
182,17.059999999999995,0.8373735393744212,16.383333333333333,18.133333333333333,Run 2,Run 5
183,30.00333333333333,0.9710675683093445,29.03333333333333,31.1,Run 2,Run 3
184,28.28,0.7617961232070788,27.266666666666662,29.4,Run 4,Run 1
185,33.059999999999995,0.7313989639344919,31.766666666666662,33.483333333333334,Run 2,Run 3
186,24.49,0.8692749213504808,23.716666666666665,25.833333333333325,Run 4,Run 1
187,10.533333333333335,1.0633411702950488,9.6,11.7,Run 3,Run 5
188,8.963333333333333,0.5858754133772807,8.583333333333334,9.983333333333333,Run 1,Run 2
189,31.57333333333333,0.5360089136903937,30.9,32.38333333333333,Run 3,Run 2
190,33.19666666666667,0.8076371572542816,32.36666666666667,34.3,Run 1,Run 2
191,19.82,0.9624476897762058,18.85,21.0,Run 5,Run 2
192,16.896666666666665,0.43082607988736166,16.4,17.333333333333332,Run 1,Run 3
193,31.759999999999998,0.8278653943190967,30.516666666666662,32.666666666666664,Run 3,Run 5
194,10.826666666666664,0.757609544701109,10.016666666666667,11.7,Run 2,Run 5
195,13.676666666666666,0.6495297444219837,13.083333333333334,14.383333333333331,Run 1,Run 2
196,27.376666666666665,0.9485808112941977,26.566666666666663,28.95,Run 2,Run 3
197,15.436666666666667,0.34367297116752066,15.033333333333331,15.833333333333334,Run 5,Run 1
198,20.28,0.7297640410129532,19.633333333333333,21.466666666666665,Run 5,Run 3
199,19.666666666666664,0.4144943371815305,18.98333333333333,19.966666666666665,Run 4,Run 2
200,25.23,0.94475158404501,23.966666666666665,26.133333333333333,Run 4,Run 1
201,30.919999999999998,0.8712538856919558,30.116666666666667,32.266666666666666,Run 2,Run 3
