origins,destinations,path,free_flow_time
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,187,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 43346331#0 1316288013 304476606 4212603#3 4212603#4 1194954747#0 1194954753 26825652#0 1194954756 1194954759 35192917 1194954761 -711517860 24765230#1 -335329133 1243611183 93293343#2 93293343#3 93293343#4 39492748 -51862993 -302189132#1 -302189132#0 -26824393 -1125292400 -22720752#3 -1125292399 -22724226#1 70573579 1195038724 1022910646 1125292398 47999383 1125292387 356366086 1243611190#1 30657188#3 1243611191 1125292389#0 1125292390#0 1125292390#1 184913667,31.4075673793389
53,187,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 43346331#0 1316288013 304476606 4212603#3 4212603#4 1194954747#0 1194954753 26825652#0 1194954756 1194954759 35192917 1194954761 -711517860 24765230#1 -335329133 1243611183 93293343#2 93293343#3 93293343#4 39492748 -51862993 -302189132#1 -302189132#0 -26824393 -1125292400 -22720752#3 -1125292399 -22724226#1 70573579 1195038724 1022910646 1125292398 47999383 1125292387 356366086 1243611190#1 30657188#3 1243611191 1125292389#0 1125292390#0 1125292390#1 184913667,31.4075673793389
